Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,359659 - IVAN TARGINO DA SILVA,477.9,1584.4,4.3,12.53,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62503 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,474.5,1897.9,4.3,28.18,129.44
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,468.6,1889.8,4.3,31.81,90.97
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62229 - TRATOR JOHN DEERE 7230J,359931 - RAFAEL FERREIRA DA SILVA,468.2,1605.5,6.0,10.42,14.67
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62521 - COLHEDORA JOHN DEERE CH570,600293 - CICERO MESSIAS DE OLIVEIRA,460.7,1843.8,5.2,37.21,68.32
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62520 - COLHEDORA JOHN DEERE CH570,600301 - ALEXANDRE ELIAS SANTOS SILVA,459.4,1817.1,5.2,35.48,59.93
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,600278 - JOAO MATEUS FREITAS LIMA,449.2,1860.7,4.5,35.08,67.21
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,600943 - MANOEL MESSIAS DA SILVA,448.7,1736.2,4.1,27.03,84.13
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,601701 - PEDRO MARCONDES SANTANA LIMA PEREIRA,445.4,1576.3,3.9,10.91,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62508 - COLHEDORA JOHN DEERE CH570,359757 - CLAUDIO MARCIO DOS SANTOS,437.1,1847.3,5.3,37.56,60.48
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62244 - TRATOR JOHN DEERE 7230J,600259 - EDILSON MIRANDA DA SILVA,435.8,1886.5,3.4,14.88,19.06
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,359697 - EMERSON APARECIDO MENEZES DA SILVA,429.6,1532.3,4.2,10.97,
