Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62511 - COLHEDORA JOHN DEERE CH570,359266 - FRANCISCO DE ASSIS DE CASTRO SILVA,262.7,1732.8,4.5,29.17,72.74
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62252 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,262.3,1954.4,5.5,10.62,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62517 - COLHEDORA JOHN DEERE CH570,600809 - PEDRO HENRIQUE NUNES DA SILVA,260.6,1724.3,4.3,31.24,68.46
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,301 - TRATORES,TRATOR JOHN DEERE 7230J,62236 - TRATOR JOHN DEERE 7230J,600259 - EDILSON MIRANDA DA SILVA,260.5,1639.3,4.5,10.68,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,359236 - FERNANDO GONCALVES DE SOUZA,252.4,1832.0,4.4,36.91,77.41
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62509 - COLHEDORA JOHN DEERE CH570,359711 - JOAO LUIZ JANUARIO DA SILVA,250.6,1828.7,4.7,34.90,65.59
CAPINÓPOLIS - MG,PLANTIO MECANIZADO,161 - PLANTIO MECANIZADO,TRATOR JOHN DEERE 7230J,62240 - TRATOR JOHN DEERE 7230J,359774 - GIRVAINE JOSE TEODORO,249.5,1930.4,4.8,17.46,64.54
CAPINÓPOLIS - MG,VINHACA ENRIQ- 2 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62249 - TRATOR JOHN DEERE 7230J,600834 - SILENE LEANDRO DOS SANTOS,249.4,1642.7,5.2,10.13,23.36
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62502 - COLHEDORA JOHN DEERE CH570,359887 - WILLIAM ANTONIO FERREIRA,246.0,1944.0,4.6,38.94,83.48
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,601171 - CLEIBER CARLOS SILVA,245.2,1733.2,3.8,24.72,59.92
